"Story","Title","Result","Date","Stability","Duration (s)"
"As a user on register page","User register with valid data","SUCCESS","2022-07-13T14:58:58.6894522+07:00[Asia/Bangkok]","0.0","1.2"
"As a user on register page","User register but no input firstname","SUCCESS","2022-07-13T14:58:59.9079509+07:00[Asia/Bangkok]","0.0","0.78"
"As a user on register page","User register but no input lastname","SUCCESS","2022-07-13T14:59:00.7023791+07:00[Asia/Bangkok]","0.0","0.71"
"As a user on register page","User register but no input email","SUCCESS","2022-07-13T14:59:01.4249149+07:00[Asia/Bangkok]","0.0","0.62"
"As a user on register page","User register but no input password","SUCCESS","2022-07-13T14:59:02.0583591+07:00[Asia/Bangkok]","0.0","0.51"
"As a user on register page","User register but no input tanggal lahir","SUCCESS","2022-07-13T14:59:02.5751787+07:00[Asia/Bangkok]","0.0","0.59"
"As a user on register page","User register but no input jenis kelamin","SUCCESS","2022-07-13T14:59:03.1746418+07:00[Asia/Bangkok]","0.0","0.7"
