"Story","Title","Result","Date","Stability","Duration (s)"
"As a user on login page","User input valid email and password","SUCCESS","2022-06-26T00:06:18.4371293+07:00[Asia/Bangkok]","0.0","0.45"
"As a user on login page","User input valid email and unvalid password","SUCCESS","2022-06-26T00:06:18.8995226+07:00[Asia/Bangkok]","0.0","1.46"
"As a user on login page","User input unvalid email and valid password","SUCCESS","2022-06-26T00:06:20.3793446+07:00[Asia/Bangkok]","0.0","0.4"
"As a user on login page","User input unvalid email and unvalid password","SUCCESS","2022-06-26T00:06:20.7904232+07:00[Asia/Bangkok]","0.0","0.51"
