"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can like or unlike thread","User like a thread","FAILURE","2022-07-13T14:58:44.415874+07:00[Asia/Bangkok]","0.0","6.93"
"As a user i can like or unlike thread","User unlike a thread","FAILURE","2022-07-13T14:58:51.3781833+07:00[Asia/Bangkok]","0.0","0.56"
"As a user on profil page","User get data profile","FAILURE","2022-07-13T14:58:56.8951016+07:00[Asia/Bangkok]","0.0","0.75"
"As a user on profil page","User update data profile","FAILURE","2022-07-13T14:58:57.6652571+07:00[Asia/Bangkok]","0.0","1.01"
"As a user on category thread","User get thread category","FAILURE","2022-07-13T14:59:03.9226234+07:00[Asia/Bangkok]","0.0","0.69"
"As a user on category thread","User get all thread","FAILURE","2022-07-13T14:59:04.6242028+07:00[Asia/Bangkok]","0.0","0.4"
"As a user on category thread","User get thread by id","FAILURE","2022-07-13T14:59:05.0342032+07:00[Asia/Bangkok]","0.0","0.38"
