"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can like or unlike thread","User like a thread","FAILURE","2022-07-09T18:22:10.1136662+07:00[Asia/Jakarta]","0.0","3.2"
"As a user i can like or unlike thread","User unlike a thread","FAILURE","2022-07-09T18:22:13.3259612+07:00[Asia/Jakarta]","0.0","0.33"
"As a user on profil page","User get data profile","FAILURE","2022-07-09T18:22:15.667496+07:00[Asia/Jakarta]","0.0","0.35"
"As a user on profil page","User update data profile","FAILURE","2022-07-09T18:22:16.0265472+07:00[Asia/Jakarta]","0.0","0.32"
"As a user on category thread","User get thread category","FAILURE","2022-07-09T18:22:19.7613847+07:00[Asia/Jakarta]","0.0","0.35"
"As a user on category thread","User get all thread","FAILURE","2022-07-09T18:22:20.1124645+07:00[Asia/Jakarta]","0.0","0.34"
"As a user on category thread","User get thread by id","FAILURE","2022-07-09T18:22:20.4517529+07:00[Asia/Jakarta]","0.0","0.27"
