"Story","Title","Result","Date","Stability","Duration (s)"
"As a user i can like or unlike thread","User like a thread","FAILURE","2022-07-09T18:22:10.1136662+07:00[Asia/Jakarta]","0.0","3.2"
"As a user i can like or unlike thread","User unlike a thread","FAILURE","2022-07-09T18:22:13.3259612+07:00[Asia/Jakarta]","0.0","0.33"
