"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka tulis jawaban","ERROR","2022-07-11T14:23:09.4902133+07:00[Asia/Bangkok]","0.0","18.53"
"User on login page","User input valid email and password","ERROR","2022-07-11T14:26:13.6782039+07:00[Asia/Bangkok]","0.0","20.17"
