"Story","Title","Result","Date","Stability","Duration (s)"
"User on landing page","User membuka tulis jawaban","ERROR","2022-07-11T14:23:09.4902133+07:00[Asia/Bangkok]","0.0","18.53"
"User on landing page","User membuka search field","FAILURE","2022-07-11T14:23:47.622097+07:00[Asia/Bangkok]","0.0","21.33"
